START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
01-12-2016 16:02,01-12-2016 17:00,business,New York,Queens County,15.1,meeting
1/13/2016 13:54,1/13/2016 14:07,business,Downtown,Gulfton,11.2,meeting
1/13/2016 15:00,1/13/2016 15:28,business,Gulfton,Downtown,11.8,meeting
1/14/2016 16:29,1/14/2016 17:05,business,Houston,Houston,21.9,customer visit
1/14/2016 21:39,1/14/2016 21:45,business,Eagan Park,Jamestown Court,3.9,errand/supplies
1/15/2016 0:41,1/15/2016 1:01,business,Morrisville,Cary,8.0,errand/supplies
1/15/2016 11:43,1/15/2016 12:03,business,Cary,Durham,10.4,meal/entertain
1/15/2016 13:26,1/15/2016 13:44,business,Durham,Cary,10.4,meal/entertain
1/18/2016 14:55,1/18/2016 15:06,business,Cary,Cary,4.8,meal/entertain
1/18/2016 16:13,1/18/2016 16:24,business,Farmington Woods,Whitebridge,4.7,meal/entertain
1/19/2016 9:09,1/19/2016 9:23,business,Whitebridge,Lake Wellingborough,7.2,nopurpose
1/19/2016 10:55,1/19/2016 11:09,business,Lake Wellingborough,Whitebridge,7.6,temporary site
1/20/2016 10:36,1/20/2016 11:11,business,Cary,Raleigh,17.1,meeting
1/20/2016 11:48,1/20/2016 12:19,business,Fayetteville Street,Umstead,15.1,meeting
1/20/2016 13:25,1/20/2016 14:19,business,Raleigh,Cary,40.2,customer visit
1/21/2016 14:25,1/21/2016 14:29,business,Cary,Cary,1.6,errand/supplies
1/21/2016 14:43,1/21/2016 14:51,business,Cary,Cary,2.4,meal/entertain
1/21/2016 16:01,1/21/2016 16:06,business,Cary,Cary,1.0,meal/entertain
1/26/2016 10:41,1/26/2016 10:50,business,Whitebridge,Hazelwood,2.0,meal/entertain
1/26/2016 12:33,1/26/2016 12:41,business,Hazelwood,Whitebridge,2.3,errand/supplies
1/26/2016 16:24,1/26/2016 16:32,business,Whitebridge,Westpark Place,1.9,errand/supplies
1/26/2016 17:17,1/26/2016 17:22,business,Cary,Cary,1.4,errand/supplies
1/26/2016 17:27,1/26/2016 17:29,business,Cary,Cary,0.5,errand/supplies
1/27/2016 9:24,1/27/2016 9:31,business,Cary,Cary,1.8,meeting
1/27/2016 10:19,1/27/2016 10:48,business,Cary,Raleigh,18.7,customer visit
1/27/2016 12:34,1/27/2016 12:44,business,Fairmont,Meredith Townes,3.4,customer visit
1/27/2016 14:05,1/27/2016 14:13,business,Raleigh,Raleigh,2.7,customer visit
1/27/2016 14:46,1/27/2016 15:08,business,Raleigh,Cary,12.9,customer visit
1/28/2016 12:28,1/28/2016 13:00,business,Cary,Raleigh,19.0,temporary site
1/28/2016 15:11,1/28/2016 15:31,business,Meredith Townes,Leesville Hollow,14.7,meeting
1/28/2016 16:21,1/28/2016 16:51,business,Raleigh,Cary,15.7,meeting
1/29/2016 9:31,1/29/2016 9:45,business,Cary,Cary,4.6,customer visit
1/29/2016 10:56,1/29/2016 11:07,business,Cary,Cary,5.2,meeting
1/29/2016 11:43,1/29/2016 12:03,business,Cary,Durham,10.4,meeting
1/29/2016 13:24,1/29/2016 13:47,business,Durham,Cary,10.1,meeting
1/29/2016 18:31,1/29/2016 18:52,business,Cary,Apex,5.8,errand/supplies
1/29/2016 21:21,1/29/2016 21:40,business,Apex,Cary,5.5,meal/entertain
1/30/2016 16:21,1/30/2016 16:33,business,Cary,Apex,5.7,errand/supplies
1/30/2016 18:09,1/30/2016 18:24,business,Apex,Cary,5.7,customer visit
02-01-2016 10:35,02-01-2016 11:15,business,Cary,Chapel Hill,19.4,customer visit
02-01-2016 12:10,02-01-2016 12:43,business,Chapel Hill,Cary,23.3,customer visit
02-01-2016 12:56,02-01-2016 13:07,business,Northwoods,Whitebridge,3.9,meal/entertain
02-02-2016 13:04,02-02-2016 13:23,business,Whitebridge,Williamsburg Manor,8.3,meeting
02-02-2016 13:51,02-02-2016 14:06,business,Cary,Cary,6.0,errand/supplies
02-02-2016 14:38,02-02-2016 14:42,business,Cary,Cary,1.6,errand/supplies
02-04-2016 08:40,02-04-2016 09:01,business,Cary,Morrisville,5.2,errand/supplies
02-04-2016 09:37,02-04-2016 10:09,business,Morrisville,Cary,9.7,meal/entertain
02-04-2016 10:26,02-04-2016 10:32,business,Cary,Cary,1.6,meal/entertain
02-04-2016 15:59,02-04-2016 16:03,business,Cary,Cary,1.1,meal/entertain
02-04-2016 16:35,02-04-2016 16:39,business,Cary,Cary,1.6,meal/entertain
02-04-2016 18:04,02-04-2016 18:31,business,Whitebridge,Macgregor Downs,9.0,meeting
02-04-2016 20:36,02-04-2016 20:55,business,Cary,Cary,7.7,meeting
02-05-2016 11:47,02-05-2016 12:07,business,Cary,Durham,10.4,meeting
02-05-2016 13:22,02-05-2016 13:41,business,Durham,Cary,10.4,meeting
02-06-2016 16:20,02-06-2016 16:53,business,Cary,Raleigh,11.4,between offices
02-06-2016 18:57,02-06-2016 19:21,business,Raleigh,Cary,9.0,errand/supplies
02-06-2016 19:28,02-06-2016 19:37,business,Edgehill Farms,Whitebridge,3.2,meal/entertain
02-07-2016 16:49,02-07-2016 17:01,business,Cary,Apex,5.6,errand/supplies
02-07-2016 18:03,02-07-2016 18:17,business,Apex,Cary,5.7,customer visit
02-07-2016 18:39,02-07-2016 18:53,business,Cary,Morrisville,6.1,temporary site
02-07-2016 20:22,02-07-2016 20:40,business,Morrisville,Cary,6.1,meeting
02-08-2016 12:57,02-08-2016 13:08,business,Whitebridge,Edgehill Farms,4.3,meal/entertain
02-08-2016 14:00,02-08-2016 14:10,business,Edgehill Farms,Whitebridge,2.7,meal/entertain
02-09-2016 10:54,02-09-2016 11:07,personal,Whitebridge,Northwoods,5.3,nopurpose
02-09-2016 11:43,02-09-2016 11:50,personal,Northwoods,Tanglewood,3.0,nopurpose
02-09-2016 13:36,02-09-2016 13:52,personal,Tanglewood,Preston,5.1,nopurpose
02-09-2016 13:58,02-09-2016 14:02,personal,Preston,Whitebridge,1.5,nopurpose
02-09-2016 18:55,02-09-2016 19:11,business,Cary,Morrisville,6.1,nopurpose
02-09-2016 20:24,02-09-2016 20:40,business,Morrisville,Cary,6.1,meal/entertain
02-11-2016 16:28,02-11-2016 17:10,business,Cary,Raleigh,17.3,meal/entertain
02-11-2016 17:49,02-11-2016 18:10,business,Eastgate,Walnut Terrace,5.7,meal/entertain
02-11-2016 18:24,02-11-2016 18:46,business,Raleigh,Morrisville,13.5,temporary site
02-11-2016 20:36,02-11-2016 20:51,business,Morrisville,Cary,6.1,temporary site
02-12-2016 08:21,02-12-2016 08:42,business,Cary,Durham,8.5,temporary site
02-12-2016 10:45,02-12-2016 10:52,business,Durham,Morrisville,2.6,temporary site
02-12-2016 11:14,02-12-2016 11:35,business,Morrisville,Raleigh,17.0,customer visit
02-12-2016 13:02,02-12-2016 13:36,business,Raleigh,Cary,18.0,meeting
02-12-2016 14:49,02-12-2016 15:06,business,Cary,Morrisville,8.4,meeting
02-12-2016 15:33,02-12-2016 16:06,business,Morrisville,Cary,11.5,customer visit
2/13/2016 14:21,2/13/2016 14:41,business,Cary,Morrisville,8.9,meeting
2/13/2016 23:45,2/14/2016 0:01,personal,East Elmhurst,Jackson Heights,2.7,nopurpose
2/14/2016 0:50,2/14/2016 1:00,personal,Jackson Heights,East Elmhurst,1.8,nopurpose
2/14/2016 14:07,2/14/2016 14:40,business,East Elmhurst,New York,8.1,meeting
2/14/2016 14:46,2/14/2016 15:03,business,Midtown,Midtown West,2.0,meeting
2/14/2016 16:35,2/14/2016 17:02,business,New York,Long Island City,13.0,meeting
2/14/2016 17:06,2/14/2016 17:29,business,Long Island City,Jamaica,13.9,meeting
2/16/2016 3:21,2/16/2016 4:13,business,Katunayaka,Unknown Location,43.7,customer visit
2/16/2016 8:29,2/16/2016 9:34,business,Unknown Location,Colombo,14.1,nopurpose
2/16/2016 10:31,2/16/2016 10:41,business,Colombo,Colombo,2.6,nopurpose
2/16/2016 11:32,2/16/2016 12:02,business,Colombo,Colombo,4.5,nopurpose
2/16/2016 12:39,2/16/2016 12:42,business,Colombo,Colombo,1.7,nopurpose
2/16/2016 13:43,2/16/2016 13:55,business,Colombo,Colombo,1.8,temporary site
2/16/2016 16:34,2/16/2016 17:10,business,Colombo,Colombo,6.0,nopurpose
2/16/2016 17:17,2/16/2016 17:26,business,Colombo,Nugegoda,1.1,meal/entertain
2/16/2016 17:40,2/16/2016 17:44,business,Nugegoda,Unknown Location,3.6,errand/supplies
2/17/2016 13:18,2/17/2016 14:04,business,Unknown Location,Colombo,14.7,temporary site
2/17/2016 15:17,2/17/2016 15:22,business,Colombo,Colombo,1.7,meal/entertain
2/17/2016 15:33,2/17/2016 16:17,business,Colombo,Katunayaka,21.4,temporary site
2/17/2016 16:38,2/17/2016 16:43,business,Katunayaka,Katunayaka,0.5,errand/supplies
2/18/2016 8:19,2/18/2016 8:27,business,Unknown Location,Unknown Location,23.5,temporary site
2/18/2016 14:03,2/18/2016 14:45,business,Unknown Location,Islamabad,12.7,temporary site
2/18/2016 15:16,2/18/2016 15:31,business,Islamabad,Unknown Location,6.0,temporary site
2/18/2016 18:44,2/18/2016 18:58,business,Unknown Location,Islamabad,5.2,customer visit
2/18/2016 19:27,2/18/2016 20:08,business,Islamabad,Unknown Location,10.0,meeting
2/19/2016 9:02,2/19/2016 9:14,business,Unknown Location,Unknown Location,18.3,meeting
2/19/2016 9:21,2/19/2016 9:51,business,Unknown Location,Unknown Location,11.2,meeting
2/19/2016 10:21,2/19/2016 10:48,business,Unknown Location,Islamabad,7.6,meeting
2/19/2016 11:20,2/19/2016 11:26,personal,Islamabad,Islamabad,1.5,nopurpose
2/19/2016 11:45,2/19/2016 11:50,personal,Islamabad,Islamabad,1.0,nopurpose
2/19/2016 12:09,2/19/2016 12:27,business,Islamabad,Unknown Location,7.3,temporary site
2/19/2016 16:26,2/19/2016 16:45,business,Unknown Location,Islamabad,3.5,nopurpose
2/19/2016 17:09,2/19/2016 17:20,business,Islamabad,Islamabad,4.2,nopurpose
2/19/2016 20:08,2/19/2016 20:30,personal,Islamabad,Unknown Location,13.6,nopurpose
2/19/2016 20:34,2/19/2016 20:51,personal,Unknown Location,Unknown Location,2.5,nopurpose
2/20/2016 7:59,2/20/2016 8:32,personal,Unknown Location,Islamabad,14.4,nopurpose
2/20/2016 10:48,2/20/2016 10:56,personal,Islamabad,Islamabad,3.0,nopurpose
2/20/2016 11:45,2/20/2016 11:53,personal,Islamabad,Islamabad,1.5,nopurpose
2/20/2016 12:41,2/20/2016 13:17,business,Islamabad,R?walpindi,18.4,nopurpose
2/20/2016 14:50,2/20/2016 15:54,business,R?walpindi,R?walpindi,23.1,meeting
2/20/2016 16:59,2/20/2016 17:54,personal,R?walpindi,Unknown Location,16.5,nopurpose
2/20/2016 18:00,2/20/2016 18:03,business,Unknown Location,Unknown Location,3.2,errand/supplies
2/20/2016 19:28,2/20/2016 19:49,business,Unknown Location,Unknown Location,7.7,errand/supplies
2/21/2016 9:07,2/21/2016 9:46,business,Unknown Location,Islamabad,14.5,nopurpose
2/21/2016 11:39,2/21/2016 11:43,business,Unknown Location,Islamabad,2.4,errand/supplies
2/21/2016 11:47,2/21/2016 12:01,business,Islamabad,Islamabad,4.6,errand/supplies
2/21/2016 12:13,2/21/2016 12:35,business,Islamabad,Unknown Location,8.8,meal/entertain
2/21/2016 12:51,2/21/2016 13:12,business,Unknown Location,Unknown Location,8.3,temporary site
2/21/2016 13:33,2/21/2016 14:30,business,Unknown Location,Unknown Location,22.7,temporary site
2/21/2016 14:36,2/21/2016 15:03,business,Unknown Location,Islamabad,13.0,temporary site
2/21/2016 15:14,2/21/2016 15:31,business,Islamabad,Noorpur Shahan,8.1,temporary site
2/21/2016 15:36,2/21/2016 15:41,business,Noorpur Shahan,Unknown Location,2.2,meal/entertain
2/21/2016 16:04,2/21/2016 16:32,business,Unknown Location,Unknown Location,9.7,nopurpose
2/21/2016 23:15,2/21/2016 23:52,business,Unknown Location,R?walpindi,20.0,meeting
2/22/2016 21:54,2/22/2016 22:09,business,Morrisville,Cary,8.1,customer visit
2/24/2016 14:30,2/24/2016 14:35,business,Whitebridge,Preston,1.5,nopurpose
2/24/2016 15:19,2/24/2016 15:25,business,Preston,Whitebridge,1.7,errand/supplies
2/25/2016 16:27,2/25/2016 16:35,business,Whitebridge,Heritage Pines,3.1,errand/supplies
2/25/2016 16:47,2/25/2016 17:02,business,Heritage Pines,Whitebridge,3.2,errand/supplies
2/25/2016 17:16,2/25/2016 17:36,business,Whitebridge,Tanglewood,6.0,meal/entertain
2/25/2016 18:22,2/25/2016 18:39,business,Tanglewood,Whitebridge,5.8,meal/entertain
2/26/2016 9:06,2/26/2016 9:29,business,Whitebridge,Westpark Place,6.3,nopurpose
2/26/2016 11:05,2/26/2016 11:11,personal,Westpark Place,Whitebridge,1.7,nopurpose
2/26/2016 11:35,2/26/2016 11:59,business,Cary,Durham,10.6,meeting
2/26/2016 13:01,2/26/2016 13:24,business,Durham,Cary,9.9,meeting
2/26/2016 14:38,2/26/2016 14:46,personal,Whitebridge,Westpark Place,1.9,nopurpose
2/26/2016 15:00,2/26/2016 15:18,personal,Westpark Place,Hazelwood,4.2,nopurpose
2/26/2016 17:01,2/26/2016 17:12,personal,Hazelwood,Whitebridge,2.0,nopurpose
2/28/2016 5:22,2/28/2016 5:38,business,Whitebridge,Waverly Place,7.7,meeting
2/28/2016 9:26,2/28/2016 9:42,business,Waverly Place,Whitebridge,6.8,meeting
2/29/2016 11:07,2/29/2016 11:14,personal,Whitebridge,Westpark Place,2.1,nopurpose
2/29/2016 11:30,2/29/2016 11:40,business,Cary,Apex,3.8,meeting
2/29/2016 12:36,2/29/2016 12:48,business,Apex,Cary,5.6,meeting
2/29/2016 14:55,2/29/2016 15:03,business,Whitebridge,Hazelwood,2.6,nopurpose
2/29/2016 16:40,2/29/2016 17:00,business,Hazelwood,Whitebridge,6.6,customer visit
03-01-2016 18:47,03-01-2016 19:10,business,Whitebridge,Wayne Ridge,8.0,meal/entertain
03-01-2016 21:27,03-01-2016 21:45,business,Wayne Ridge,Whitebridge,8.0,meeting
03-03-2016 09:45,03-03-2016 09:52,personal,Whitebridge,Westpark Place,2.2,nopurpose
03-03-2016 11:04,03-03-2016 11:10,business,Westpark Place,Whitebridge,2.3,errand/supplies
03-03-2016 14:44,03-03-2016 14:58,business,Whitebridge,Northwoods,5.2,meal/entertain
03-03-2016 15:27,03-03-2016 15:48,business,Cary,Raleigh,7.6,customer visit
03-03-2016 16:02,03-03-2016 16:42,business,Raleigh,Cary,17.3,meeting
03-04-2016 07:47,03-04-2016 08:06,business,Cary,Durham,9.9,meeting
03-04-2016 09:46,03-04-2016 10:03,business,Durham,Cary,9.9,customer visit
03-04-2016 11:46,03-04-2016 12:06,business,Cary,Durham,10.4,meeting
03-04-2016 13:03,03-04-2016 13:25,business,Durham,Cary,10.9,meeting
03-04-2016 13:40,03-04-2016 14:09,business,Cary,Raleigh,15.7,customer visit
03-04-2016 15:56,03-04-2016 16:08,business,Raleigh,Raleigh,4.9,meal/entertain
03-04-2016 16:16,03-04-2016 16:22,business,Fayetteville Street,Depot Historic District,0.8,errand/supplies
03-04-2016 16:43,03-04-2016 17:12,business,Raleigh,Cary,13.5,meeting
03-04-2016 19:02,03-04-2016 19:08,business,Cary,Morrisville,1.9,temporary site
03-04-2016 19:16,03-04-2016 19:25,business,Morrisville,Cary,2.0,meal/entertain
03-05-2016 11:44,03-05-2016 11:59,business,Cary,Morrisville,6.5,meal/entertain
03-05-2016 12:57,03-05-2016 13:12,personal,Weston,Weston,4.2,nopurpose
03-05-2016 14:08,03-05-2016 14:18,personal,Morrisville,Cary,3.5,nopurpose
03-05-2016 14:39,03-05-2016 15:01,business,Whitebridge,Wayne Ridge,7.8,meal/entertain
03-05-2016 16:52,03-05-2016 17:13,business,Cary,Morrisville,7.8,meal/entertain
03-05-2016 17:23,03-05-2016 17:34,business,Morrisville,Cary,3.9,meal/entertain
03-07-2016 09:10,03-07-2016 09:20,business,Whitebridge,Edgehill Farms,2.8,errand/supplies
03-07-2016 09:23,03-07-2016 09:47,business,Cary,Raleigh,12.4,customer visit
03-07-2016 12:10,03-07-2016 12:26,business,Fayetteville Street,Meredith Townes,5.9,customer visit
03-07-2016 13:57,03-07-2016 14:18,business,Meredith Townes,Leesville Hollow,9.4,meeting
03-07-2016 15:19,03-07-2016 15:45,business,Raleigh,Cary,11.9,between offices
03-08-2016 14:38,03-08-2016 14:55,business,Whitebridge,Waverly Place,7.2,between offices
03-08-2016 15:35,03-08-2016 16:00,business,Waverly Place,Whitebridge,7.6,meal/entertain
03-08-2016 16:13,03-08-2016 16:25,personal,Whitebridge,Whitebridge,1.6,nopurpose
03-10-2016 03:36,03-10-2016 03:53,business,Cary,Morrisville,8.4,meeting
03-10-2016 10:08,03-10-2016 10:37,business,East Austin,West University,12.8,meeting
03-10-2016 14:39,03-10-2016 14:55,business,West University,South Congress,2.3,nopurpose
03-10-2016 16:18,03-10-2016 16:28,business,South Congress,Arts District,1.6,nopurpose
03-11-2016 09:47,03-11-2016 09:59,business,The Drag,Congress Ave District,2.0,meal/entertain
03-11-2016 10:29,03-11-2016 10:36,business,Congress Ave District,Downtown,0.8,nopurpose
03-11-2016 11:57,03-11-2016 12:04,business,Downtown,Red River District,1.2,nopurpose
03-11-2016 13:43,03-11-2016 13:51,business,Red River District,Downtown,1.0,nopurpose
03-11-2016 19:21,03-11-2016 19:35,business,South Congress,The Drag,2.1,nopurpose
03-12-2016 09:13,03-12-2016 09:22,business,The Drag,South Congress,2.2,nopurpose
03-12-2016 18:27,03-12-2016 18:37,personal,South Congress,The Drag,1.9,nopurpose
3/13/2016 9:07,3/13/2016 9:37,business,The Drag,Convention Center District,5.7,meal/entertain
3/13/2016 18:23,3/13/2016 18:43,business,South Congress,North Austin,8.4,meal/entertain
3/13/2016 20:07,3/13/2016 20:28,business,Georgian Acres,The Drag,6.2,meal/entertain
3/13/2016 20:39,3/13/2016 20:58,business,The Drag,North Austin,10.5,meal/entertain
3/13/2016 21:11,3/13/2016 21:23,business,North Austin,Coxville,7.2,meal/entertain
3/13/2016 22:19,3/13/2016 22:39,business,Coxville,The Drag,12.5,nopurpose
3/14/2016 8:34,3/14/2016 8:49,business,The Drag,South Congress,2.0,errand/supplies
3/14/2016 18:39,3/14/2016 18:55,business,South Congress,The Drag,2.7,nopurpose
3/15/2016 8:45,3/15/2016 8:57,business,The Drag,Convention Center District,2.0,meal/entertain
3/15/2016 20:48,3/15/2016 21:01,business,Downtown,The Drag,2.8,meal/entertain
3/16/2016 11:34,3/16/2016 11:45,business,The Drag,Congress Ave District,1.7,meal/entertain
3/16/2016 14:44,3/16/2016 14:55,business,Convention Center District,West University,2.0,nopurpose
3/16/2016 18:43,3/16/2016 18:56,business,West University,Congress Ave District,2.1,meal/entertain
3/17/2016 0:33,3/17/2016 0:44,personal,Downtown,The Drag,1.7,nopurpose
3/17/2016 12:52,3/17/2016 15:11,business,Austin,Katy,136.0,customer visit
3/17/2016 15:16,3/17/2016 15:58,business,Katy,Houston,30.2,meeting
3/17/2016 17:20,3/17/2016 18:02,business,Midtown,Alief,15.5,meal/entertain
3/17/2016 18:47,3/17/2016 19:09,personal,Houston,Houston,4.9,nopurpose
3/17/2016 20:57,3/17/2016 21:28,personal,Houston,Houston,12.6,nopurpose
3/17/2016 21:48,3/17/2016 22:04,personal,Sharpstown,Midtown,10.4,nopurpose
3/18/2016 7:15,3/18/2016 7:21,business,Midtown,Midtown,1.1,meal/entertain
3/18/2016 8:35,3/18/2016 8:43,business,Midtown,Midtown,1.1,meal/entertain
3/18/2016 18:24,3/18/2016 19:08,business,Midtown,Sharpstown,13.2,meeting
3/18/2016 19:23,3/18/2016 19:29,business,Sharpstown,Sharpstown,1.0,errand/supplies
3/18/2016 21:01,3/18/2016 21:15,business,Sharpstown,Midtown,9.2,customer visit
3/19/2016 9:10,3/19/2016 9:25,business,Midtown,Sharpstown,9.4,meal/entertain
3/19/2016 12:50,3/19/2016 13:13,business,Houston,Sugar Land,12.0,customer visit
3/19/2016 14:01,3/19/2016 14:57,business,Sugar Land,Houston,35.1,customer visit
3/19/2016 15:34,3/19/2016 16:38,business,Houston,Galveston,36.5,meal/entertain
3/19/2016 17:17,3/19/2016 17:32,business,Galveston,Port Bolivar,3.1,meal/entertain
3/19/2016 17:37,3/19/2016 17:47,business,Port Bolivar,Port Bolivar,2.1,errand/supplies
3/19/2016 17:52,3/19/2016 18:00,business,Port Bolivar,Port Bolivar,1.2,nopurpose
3/19/2016 18:53,3/19/2016 19:29,business,Port Bolivar,Galveston,7.5,meeting
3/19/2016 19:33,3/19/2016 20:39,business,Galveston,Houston,57.0,customer visit
3/20/2016 7:37,3/20/2016 7:48,business,Midtown,Washington Avenue,5.9,meeting
3/20/2016 11:42,3/20/2016 11:56,business,Washington Avenue,Midtown,6.2,meeting
3/20/2016 17:08,3/20/2016 17:34,business,Midtown,Sharpstown,10.4,nopurpose
3/20/2016 18:34,3/20/2016 18:40,personal,Sharpstown,Briar Meadow,1.2,nopurpose
3/20/2016 18:45,3/20/2016 19:06,business,Briar Meadow,Midtown,9.6,customer visit
3/21/2016 10:21,3/21/2016 10:26,personal,Midtown,Downtown,1.0,nopurpose
3/21/2016 16:05,3/21/2016 16:13,business,Downtown,Midtown,0.9,meal/entertain
3/21/2016 18:59,3/21/2016 19:15,business,Midtown,Sharpstown,8.8,nopurpose
3/21/2016 20:18,3/21/2016 20:55,business,Sharpstown,Midtown,25.6,meal/entertain
3/22/2016 6:17,3/22/2016 6:43,business,Midtown,Greater Greenspoint,23.0,meal/entertain
3/22/2016 12:06,3/22/2016 12:24,personal,Morrisville,Cary,8.1,nopurpose
3/22/2016 19:12,3/22/2016 19:25,personal,Whitebridge,Whitebridge,1.4,nopurpose
3/23/2016 14:37,3/23/2016 14:42,personal,Whitebridge,Preston,1.7,nopurpose
3/23/2016 14:53,3/23/2016 14:59,personal,Preston,Whitebridge,1.6,nopurpose
3/24/2016 19:47,3/24/2016 19:54,personal,Whitebridge,Westpark Place,2.0,nopurpose
3/24/2016 20:34,3/24/2016 20:40,business,Westpark Place,Whitebridge,2.2,nopurpose
3/25/2016 13:24,3/25/2016 16:22,business,Cary,Latta,144.0,customer visit
3/25/2016 16:52,3/25/2016 22:22,business,Latta,Jacksonville,310.3,customer visit
3/25/2016 22:54,3/26/2016 1:39,business,Jacksonville,Kissimmee,201.0,meeting
3/26/2016 14:05,3/26/2016 14:29,personal,Couples Glen,Isles of Buena Vista,6.7,nopurpose
3/26/2016 15:19,3/26/2016 15:49,personal,Kissimmee,Orlando,8.8,nopurpose
3/26/2016 16:26,3/26/2016 16:30,personal,Lake Reams,Lake Reams,1.2,nopurpose
3/27/2016 0:31,3/27/2016 0:40,business,Lake Reams,Lake Reams,2.1,errand/supplies
3/27/2016 1:11,3/27/2016 1:23,business,Orlando,Kissimmee,6.6,meal/entertain
3/27/2016 15:31,3/27/2016 15:56,business,Kissimmee,Orlando,6.1,customer visit
3/27/2016 21:26,3/27/2016 21:41,personal,Orlando,Orlando,6.9,nopurpose
3/27/2016 23:04,3/27/2016 23:18,personal,Orlando,Kissimmee,7.3,nopurpose
3/28/2016 12:29,3/28/2016 12:42,personal,Kissimmee,Orlando,3.6,nopurpose
3/28/2016 19:30,3/28/2016 20:23,personal,Couples Glen,Vista East,27.2,nopurpose
3/28/2016 22:55,3/28/2016 23:26,personal,Orlando,Kissimmee,25.7,nopurpose
3/29/2016 15:27,3/29/2016 16:11,personal,Kissimmee,Orlando,13.6,nopurpose
3/29/2016 18:20,3/29/2016 18:39,personal,Sand Lake Commons,Sky Lake,6.2,nopurpose
3/29/2016 20:29,3/29/2016 20:44,personal,Sky Lake,Sand Lake Commons,6.0,nopurpose
3/29/2016 23:04,3/29/2016 23:21,personal,Orlando,Kissimmee,13.8,nopurpose
3/30/2016 22:05,3/30/2016 22:55,business,Orlando,Kissimmee,28.8,meal/entertain
3/31/2016 12:47,3/31/2016 13:22,business,Kissimmee,Orlando,16.1,temporary site
3/31/2016 14:37,3/31/2016 15:09,business,Orlando,Kissimmee,16.4,meal/entertain
04-01-2016 13:43,04-01-2016 14:01,business,Kissimmee,Kissimmee,11.0,meeting
04-01-2016 14:36,04-01-2016 15:24,business,Kissimmee,Orlando,15.5,customer visit
04-01-2016 16:01,04-01-2016 16:49,business,Orlando,Kissimmee,20.3,meeting
04-01-2016 16:52,04-01-2016 16:57,personal,Kissimmee,Kissimmee,0.7,nopurpose
04-02-2016 08:48,04-02-2016 09:04,personal,Kissimmee,Kissimmee,5.5,nopurpose
04-02-2016 11:01,04-02-2016 11:16,personal,Kissimmee,Kissimmee,5.1,nopurpose
04-02-2016 12:21,04-02-2016 14:47,business,Kissimmee,Daytona Beach,77.3,customer visit
04-02-2016 16:57,04-02-2016 18:09,business,Daytona Beach,Jacksonville,80.5,customer visit
04-02-2016 19:38,04-02-2016 22:36,business,Jacksonville,Ridgeland,174.2,customer visit
04-02-2016 23:11,04-03-2016 01:34,business,Ridgeland,Florence,144.0,meeting
04-03-2016 02:00,04-03-2016 04:16,business,Florence,Cary,159.3,meeting
04-05-2016 21:39,04-05-2016 21:55,business,Whitebridge,Wayne Ridge,7.9,meal/entertain
04-06-2016 00:19,04-06-2016 00:39,business,Wayne Ridge,Whitebridge,8.0,meal/entertain
04-07-2016 18:20,04-07-2016 18:39,business,Cary,Morrisville,6.1,meal/entertain
04-07-2016 19:45,04-07-2016 20:00,business,Morrisville,Cary,6.1,errand/supplies
